network_name,batch_size,smote_augmentation,mutation_probability,adam_learning_rate,init_time,fid,tvd,execution_time,best FID client,n_iterations,grid_size,label_rate
five_layer_perceptron,75,100,0.4,0.0001,07-07-20 16:41,1.792650603,0.044953581,19.11666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,100,0.4,0.00025,07-07-20 21:07,1.792140042,0.03170743,17.96666667,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,100,0.3,0.0005,06-07-20 23:48,1.788505752,0.034999269,16.68333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,100,0.5,0.00025,07-07-20 4:27,1.787365299,0.02690131,14.15,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.4,0.0001,07-07-20 16:57,1.785841081,0.02721464,19.78333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,100,0.4,0.0005,07-07-20 7:27,1.785033927,0.027108624,12.73333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,50,0.5,0.0005,07-07-20 2:53,1.78286376,0.03680601,8.8,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,100,0.4,0.00025,07-07-20 7:01,1.782462146,0.02361162,12.75,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,100,0.4,0.00025,07-07-20 20:45,1.781233008,0.024835884,17.31666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.4,0.00025,07-07-20 11:31,1.779381347,0.03261307,23.15,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,100,0.3,0.00025,07-07-20 3:02,1.778716698,0.02363656,13.95,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,50,0.4,0.0001,07-07-20 9:15,1.775488973,0.022577746,13.2,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,100,0.4,0.00025,07-07-20 0:05,1.772575037,0.022809714,16.51666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.5,0.00025,07-07-20 12:32,1.772564268,0.033796412,22.53333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,100,0.4,0.00025,07-07-20 0:04,1.772016957,0.033005345,16.51666667,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,100,0.4,0.00025,07-07-20 7:04,1.771638215,0.030139739,12.75,127.0.0.1:5000,1000,1,1
